"Devicename";"Deviceaddress";"Devicetype"
"seint2415";"138.103.144.47";"Microsoft_OS_Windows"
"seint2416";"164.4.41.171";"Microsoft_OS_Windows"
"seint2467";"138.103.86.23";"Microsoft_OS_Windows"
"seint3010";"138.103.186.104";"Microsoft_OS_Windows"
"seint3053";"164.4.184.143";"Microsoft_OS_Windows"
"seint3055";"164.4.185.72";"Microsoft_OS_Windows"
"seint3056";"164.4.184.116";"Microsoft_OS_Windows"
"seint3069";"164.4.184.171";"Microsoft_OS_Windows"
"seint3158";"164.4.184.249";"Microsoft_OS_Windows"
"seint3181";"164.4.185.19";"Microsoft_OS_Windows"
"seint3185";"164.4.185.20";"Microsoft_OS_Windows"
"seint3187";"164.4.184.122";"Microsoft_OS_Windows"
"seint3190";"164.4.185.24";"Microsoft_OS_Windows"
"seint3191";"164.4.185.28";"Microsoft_OS_Windows"
"seint3196";"164.4.185.34";"Microsoft_OS_Windows"
"seint3197";"164.4.185.234";"Microsoft_OS_Windows"
"seint3198";"164.4.185.37";"Microsoft_OS_Windows"
"seint3199";"164.4.185.40";"Microsoft_OS_Windows"
"seint3200";"164.4.185.31";"Microsoft_OS_Windows"
"seint3202";"164.4.185.42";"Microsoft_OS_Windows"
"seint3203";"164.4.185.44";"Microsoft_OS_Windows"
"seint3205";"164.4.185.47";"Microsoft_OS_Windows"
"seint3206";"164.4.185.48";"Microsoft_OS_Windows"
"seint3210";"164.4.184.141";"Microsoft_OS_Windows"
"seint3211";"164.4.185.59";"Microsoft_OS_Windows"
"seint3220";"164.4.185.65";"Microsoft_OS_Windows"
"seint3221";"164.4.185.66";"Microsoft_OS_Windows"
"seint3243";"164.4.185.96";"Microsoft_OS_Windows"
"seint3246";"164.4.184.62";"Microsoft_OS_Windows"
"seint3265";"138.103.186.35";"Microsoft_OS_Windows"
"seint3266";"138.103.186.55";"Microsoft_OS_Windows"
"seint3270";"164.4.87.24";"Microsoft_OS_Windows"
"seint3271";"164.4.87.25";"Microsoft_OS_Windows"
"seint3315";"164.4.184.243";"Microsoft_OS_Windows"
"seint3316";"164.4.185.71";"Microsoft_OS_Windows"
"seint3318";"138.103.89.241";"Microsoft_OS_Windows"
"seint3345";"138.103.89.242";"Microsoft_OS_Windows"
"seint3363";"164.4.87.235";"Microsoft_OS_Windows"
"seint3364";"164.4.87.97";"Microsoft_OS_Windows"
"seint3366";"138.103.86.151";"Microsoft_OS_Windows"
"seint3367";"138.103.86.153";"Microsoft_OS_Windows"
"seint3369";"164.4.185.143";"Microsoft_OS_Windows"
"seint3411";"164.4.87.239";"Microsoft_OS_Windows"
"seint3412";"164.4.86.246";"Microsoft_OS_Windows"
"seint3413";"164.4.87.240";"Microsoft_OS_Windows"
"seint3443";"138.103.89.99";"Microsoft_OS_Windows"
"seint3451";"138.103.89.140";"Microsoft_OS_Windows"
"seint3452";"138.103.89.151";"Microsoft_OS_Windows"
"seint3453";"138.103.89.152";"Microsoft_OS_Windows"
"seint3454";"138.103.89.153";"Microsoft_OS_Windows"
"seint3455";"138.103.89.154";"Microsoft_OS_Windows"
"seint3456";"138.103.89.155";"Microsoft_OS_Windows"
"seint3457";"138.103.89.159";"Microsoft_OS_Windows"
"seint3459";"164.4.86.17";"Microsoft_OS_Windows"
"seint3460";"164.4.86.18";"Microsoft_OS_Windows"
"seint3461";"164.4.86.19";"Microsoft_OS_Windows"
"seint3465";"164.4.86.31";"Microsoft_OS_Windows"
"seint346";"138.103.89.75";"Microsoft_OS_Windows"
"seint347";"138.103.89.76";"Microsoft_OS_Windows"
"seint348";"138.103.89.77";"Microsoft_OS_Windows"
"seint349";"138.103.89.78";"Microsoft_OS_Windows"
"seint3558";"138.103.89.33";"Microsoft_OS_Windows"
"seint3559";"138.103.89.34";"Microsoft_OS_Windows"
"seint3560";"138.103.89.43";"Microsoft_OS_Windows"
"seint3561";"164.4.184.195";"Microsoft_OS_Windows"
"seint3562";"164.4.185.198";"Microsoft_OS_Windows"
"seint3576";"10.183.17.109";"Microsoft_OS_Windows"
"seint3577";"138.103.86.88";"Microsoft_OS_Windows"
"seint3578";"10.183.17.117";"Microsoft_OS_Windows"
"seint3579";"138.103.86.142";"Microsoft_OS_Windows"
"seint3580";"138.103.86.182";"Microsoft_OS_Windows"
"seint3581";"164.4.172.21";"Microsoft_OS_Windows"
"seint3582";"138.103.86.168";"Microsoft_OS_Windows"
"seint3584";"138.103.90.237";"Microsoft_OS_Windows"
"seint3588";"164.4.87.94";"Microsoft_OS_Windows"
"seint3589";"164.4.41.116";"Microsoft_OS_Windows"
"seint3590";"10.183.24.175";"Microsoft_OS_Windows"
"seint3592";"164.4.32.137";"Microsoft_OS_Windows"
"seint3593";"164.4.32.156";"Microsoft_OS_Windows"
"seint3596";"138.103.90.171";"Microsoft_OS_Windows"
"seint3598";"164.4.185.145";"Microsoft_OS_Windows"
"seint3599";"138.103.90.161";"Microsoft_OS_Windows"
"seint3600";"164.4.86.204";"Microsoft_OS_Windows"
"seint3606";"164.4.33.201";"Microsoft_OS_Windows"
"seint3607";"164.4.33.202";"Microsoft_OS_Windows"
"seint3614";"138.103.89.243";"Microsoft_OS_Windows"
"seint3615";"138.103.89.244";"Microsoft_OS_Windows"
"seint3616";"138.103.89.247";"Microsoft_OS_Windows"
"seint3617";"138.103.89.248";"Microsoft_OS_Windows"
"seint3618";"138.103.89.249";"Microsoft_OS_Windows"
"seint3619";"10.40.1.86";"Microsoft_OS_Windows"
"seint3620";"10.40.1.87";"Microsoft_OS_Windows"
"seint3621";"10.40.1.89";"Microsoft_OS_Windows"
"seint3622";"10.40.1.90";"Microsoft_OS_Windows"
"seint3623";"138.103.90.172";"Microsoft_OS_Windows"
"seint3624";"138.103.90.173";"Microsoft_OS_Windows"
"seint3626";"10.40.1.92";"Microsoft_OS_Windows"
"seint3627";"138.103.86.50";"Microsoft_OS_Windows"
"seint3628";"138.103.186.219";"Microsoft_OS_Windows"
"seint3630";"10.50.191.135";"Microsoft_OS_Windows"
"seint3632";"138.103.89.42";"Microsoft_OS_Windows"
"seint3634";"138.103.186.130";"Microsoft_OS_Windows"
"seint3635";"138.103.186.157";"Microsoft_OS_Windows"
"seint3636";"164.4.87.21";"Microsoft_OS_Windows"
"seint3642";"164.4.184.77";"Microsoft_OS_Windows"
"seint3644";"138.103.89.74";"Microsoft_OS_Windows"
"seint3650";"164.4.87.230";"Microsoft_OS_Windows"
"seint3651";"164.4.173.141";"Microsoft_OS_Windows"
"seint3652";"164.4.173.142";"Microsoft_OS_Windows"
"seint3653";"164.4.173.143";"Microsoft_OS_Windows"
"seint3655";"164.4.41.85";"Microsoft_OS_Windows"
